OjoIzquierdo,OjoDerecho,ObjetoEnfocado,PosicionObjeto,Timestamp
"(0.480, 0.358, 0.000)","(0.460, 0.328, 0.000)",Enfocado,"(-1.79, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:1445
"(0.478, 0.356, 0.000)","(0.459, 0.325, 0.000)",Enfocado,"(-1.74, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:1588
"(0.479, 0.355, 0.000)","(0.458, 0.324, 0.000)",Enfocado,"(-1.69, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:1727
"(0.480, 0.355, 0.000)","(0.459, 0.324, 0.000)",Enfocado,"(-1.63, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:1866
"(0.480, 0.355, 0.000)","(0.459, 0.324, 0.000)",Enfocado,"(-1.59, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:2001
"(0.480, 0.353, 0.000)","(0.460, 0.323, 0.000)",Enfocado,"(-1.54, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:2142
"(0.479, 0.351, 0.000)","(0.460, 0.322, 0.000)",Enfocado,"(-1.50, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:2284
"(0.478, 0.352, 0.000)","(0.460, 0.322, 0.000)",Enfocado,"(-1.44, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:2422
"(0.478, 0.353, 0.000)","(0.459, 0.322, 0.000)",Enfocado,"(-1.39, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:2564
"(0.478, 0.353, 0.000)","(0.458, 0.323, 0.000)",Enfocado,"(-1.34, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:2704
"(0.478, 0.354, 0.000)","(0.459, 0.322, 0.000)",Enfocado,"(-1.28, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:2840
"(0.478, 0.354, 0.000)","(0.459, 0.322, 0.000)",Enfocado,"(-1.23, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:2978
"(0.477, 0.354, 0.000)","(0.459, 0.324, 0.000)",Enfocado,"(-1.19, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:3117
"(0.477, 0.355, 0.000)","(0.459, 0.323, 0.000)",Enfocado,"(-1.14, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:3257
"(0.478, 0.355, 0.000)","(0.460, 0.323, 0.000)",Enfocado,"(-1.09, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:3403
"(0.478, 0.353, 0.000)","(0.462, 0.322, 0.000)",Enfocado,"(-1.03, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:3538
"(0.478, 0.353, 0.000)","(0.462, 0.322, 0.000)",Enfocado,"(-0.99, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:3680
"(0.479, 0.350, 0.000)","(0.461, 0.322, 0.000)",Enfocado,"(-0.94, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:3816
"(0.485, 0.349, 0.000)","(0.470, 0.322, 0.000)",Enfocado,"(-0.88, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:3960
"(0.502, 0.338, 0.000)","(0.487, 0.313, 0.000)",Enfocado,"(-0.83, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:4099
"(0.000, 0.000, 0.000)","(0.000, 0.000, 0.000)",Enfocado,"(-0.78, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:4237
"(0.496, 0.355, 0.000)","(0.487, 0.313, 0.000)",Enfocado,"(-0.73, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:4379
"(0.513, 0.291, 0.000)","(0.487, 0.313, 0.000)",Enfocado,"(-0.67, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:4514
"(0.513, 0.291, 0.000)","(0.487, 0.313, 0.000)",Enfocado,"(-0.62, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:4652
"(0.513, 0.280, 0.000)","(0.502, 0.253, 0.000)",Enfocado,"(-0.58, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:4795
"(0.511, 0.289, 0.000)","(0.500, 0.256, 0.000)",Enfocado,"(-0.53, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:4936
"(0.511, 0.293, 0.000)","(0.497, 0.263, 0.000)",Enfocado,"(-0.47, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:5077
"(0.512, 0.298, 0.000)","(0.496, 0.266, 0.000)",Enfocado,"(-0.42, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:5208
"(0.512, 0.298, 0.000)","(0.496, 0.266, 0.000)",Enfocado,"(-0.37, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:5350
"(0.512, 0.301, 0.000)","(0.496, 0.271, 0.000)",Enfocado,"(-0.32, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:5489
"(0.515, 0.302, 0.000)","(0.499, 0.271, 0.000)",Enfocado,"(-0.27, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:5628
"(0.515, 0.305, 0.000)","(0.499, 0.274, 0.000)",Enfocado,"(-0.22, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:5769
"(0.517, 0.307, 0.000)","(0.500, 0.278, 0.000)",Enfocado,"(-0.17, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:5910
"(0.516, 0.311, 0.000)","(0.500, 0.282, 0.000)",Enfocado,"(-0.11, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:6046
"(0.516, 0.315, 0.000)","(0.501, 0.285, 0.000)",Enfocado,"(-0.06, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:6182
"(0.516, 0.315, 0.000)","(0.501, 0.285, 0.000)",Enfocado,"(-0.01, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:6322
"(0.516, 0.318, 0.000)","(0.500, 0.289, 0.000)",Enfocado,"(0.03, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:6458
"(0.511, 0.321, 0.000)","(0.499, 0.290, 0.000)",Enfocado,"(0.08, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:6601
"(0.513, 0.323, 0.000)","(0.498, 0.293, 0.000)",Enfocado,"(0.14, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:6743
"(0.549, 0.324, 0.000)","(0.529, 0.302, 0.000)",Enfocado,"(0.19, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:6882
"(0.594, 0.320, 0.000)","(0.567, 0.308, 0.000)",Enfocado,"(0.24, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:7018
"(0.594, 0.320, 0.000)","(0.567, 0.308, 0.000)",Enfocado,"(0.30, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:7159
"(0.601, 0.320, 0.000)","(0.578, 0.306, 0.000)",Enfocado,"(0.34, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:7294
"(0.597, 0.321, 0.000)","(0.574, 0.304, 0.000)",Enfocado,"(0.39, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:7432
"(0.597, 0.320, 0.000)","(0.575, 0.302, 0.000)",Enfocado,"(0.44, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:7573
"(0.598, 0.318, 0.000)","(0.576, 0.301, 0.000)",Enfocado,"(0.49, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:7715
"(0.597, 0.316, 0.000)","(0.574, 0.298, 0.000)",Enfocado,"(0.54, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:7850
"(0.597, 0.316, 0.000)","(0.574, 0.298, 0.000)",Enfocado,"(0.60, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:7988
"(0.599, 0.316, 0.000)","(0.575, 0.301, 0.000)",Enfocado,"(0.64, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:8132
"(0.598, 0.316, 0.000)","(0.575, 0.301, 0.000)",Enfocado,"(0.69, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:8276
"(0.598, 0.317, 0.000)","(0.576, 0.301, 0.000)",Enfocado,"(0.74, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:8413
"(0.599, 0.316, 0.000)","(0.575, 0.301, 0.000)",Enfocado,"(0.79, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:8557
"(0.599, 0.315, 0.000)","(0.574, 0.301, 0.000)",Enfocado,"(0.84, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:8695
